RANK,NAME,SCORE,MONEY
1,AMD EPYC 9654,126045,6820000
2,AMD EPYC 9554P,109858,11956330
3,AMD EPYC 9474F,104895,13938150
4,Intel Xeon w9-3495X,98285,7560000
5,AMD Ryzen Threadripper PRO 5995WX,98215,8141510
6,AMD EPYC 9454P,96088,14493600
7,AMD EPYC 9654P,94295,6820000
8,AMD EPYC 7773X,91209,20870300
9,AMD EPYC 9534,88716,24928200
10,AMD EPYC 7763,86194,4538700
11,AMD EPYC 7J13,85683,1646843
12,AMD EPYC 7713,84208, 3660200
13,AMD EPYC 7713P,83439,16177700
14,AMD Ryzen Threadripper PRO 3995WX,83273,7359000
15,AMD EPYC 7V13,82878,3143793
16,AMD Ryzen Threadripper 3990X,81128,6548370
17,AMD EPYC 9354P,78983,9578800
18,AMD EPYC 7B13,77460,1464435
19,AMD EPYC 7643,76455,2154811
20,AMD Ryzen Threadripper PRO 5975WX,75802,3930000
21,AMD EPYC 9334,75347,5290376
22,Intel Xeon Platinum 8461V,74982,23635700
23,AMD EPYC 7T83,74892,4851400
24,AMD EPYC 9274F,73784,11091300
25,AMD EPYC 7662,73321,1268481
26,AMD EPYC 7573X,70868,13107600
27,Intel Xeon w7-3465X,70748,4816600
28,AMD EPYC 7702,70506,1265000
29,AMD EPYC 9254,70006,6123459
30,AMD EPYC 7H12,69633,3307950
31,AMD EPYC 75F3,68505,22049500
32,AMD EPYC 7742,67625,12799910
33,Intel Xeon w9-3475X,67325,5502121
34,AMD Ryzen Threadripper PRO 5965WX,66613,3017350
35,AMD EPYC 7543P,66608,5400000
